Region,site,ID,Microsite,x,y,z,rdm.cov,PF
Panoche,PAN2,12,ephedra,260,245,95,75,
Panoche,PAN2,12,open,,,,10,
Panoche,PAN2,11,ephedra,200,175,105,40,Y
Panoche,PAN2,11,open,,,,5,Y
Panoche,PAN2,6,ephedra,225,200,80,65,Y
Panoche,PAN2,6,open,,,,8,Y
Panoche,PAN1,1,ephedra,235,225,105,80,Y
Panoche,PAN1,1,open,,,,20,Y
Panoche,PAN1,2,ephedra,265,220,110,100,
Panoche,PAN1,2,open,,,,25,
Panoche,PAN1,3,ephedra,380,345,100,90,
Panoche,PAN1,3,open,,,,60,
Panoche,PAN1,4,ephedra,185,175,125,70,
Panoche,PAN1,4,open,,,,35,
Panoche,PAN1,5,ephedra,220,170,90,80,Y
Panoche,PAN1,5,open,,,,35,Y
Panoche,PAN1,6,ephedra,205,185,100,50,
Panoche,PAN1,6,open,,,,5,
Panoche,PAN1,7,ephedra,325,265,110,60,
Panoche,PAN1,7,open,,,,5,
Panoche,PAN1,8,ephedra,235,150,95,55,
Panoche,PAN1,8,open,,,,5,
Panoche,PAN1,9,ephedra,455,280,125,70,Y
Panoche,PAN1,9,open,,,,15,Y
Panoche,PAN1,10,ephedra,305,285,105,50,
Panoche,PAN1,10,open,,,,8,
Panoche,PAN1,11,ephedra,315,275,110,45,
Panoche,PAN1,11,open,,,,4,
Panoche,PAN1,12,ephedra,230,230,115,40,
Panoche,PAN1,12,open,,,,60,
Panoche,PAN1,13,ephedra,375,260,70,80,Y
Panoche,PAN1,13,open,,,,15,Y
Panoche,PAN1,14,ephedra,295,275,110,50,
Panoche,PAN1,14,open,,,,15,
Panoche,PAN1,15,ephedra,355,325,115,85,
Panoche,PAN1,15,open,,,,35,
Panoche,PAN1,16,ephedra,375,290,95,90,
Panoche,PAN1,16,open,,,,55,
Panoche,PAN1,17,ephedra,335,300,95,60,Y
Panoche,PAN1,17,open,,,,5,Y
Panoche,PAN1,18,ephedra,335,240,110,65,
Panoche,PAN1,18,open,,,,6,
Panoche,PAN1,19,ephedra,230,175,125,25,
Panoche,PAN1,19,open,,,,8,
Panoche,PAN1,20,ephedra,280,240,130,80,
Panoche,PAN1,20,open,,,,20,
Panoche,PAN1,21,ephedra,355,345,195,5,
Panoche,PAN1,21,open,,,,8,
Panoche,PAN1,22,ephedra,315,245,80,45,Y
Panoche,PAN1,22,open,,,,35,Y
Panoche,PAN1,23,ephedra,695,585,185,65,
Panoche,PAN1,23,open,,,,50,
Panoche,PAN1,24,ephedra,455,325,155,95,
Panoche,PAN1,24,open,,,,35,
Panoche,PAN1,25,ephedra,265,215,115,95,
Panoche,PAN1,25,open,,,,35,
Panoche,PAN1,26,ephedra,290,240,125,35,Y
Panoche,PAN1,26,open,,,,15,Y
Panoche,PAN1,27,ephedra,190,165,90,75,
Panoche,PAN1,27,open,,,,70,
Panoche,PAN1,30,ephedra,270,260,130,45,Y
Panoche,PAN1,30,open,,,,35,Y
Panoche,PAN1,34,ephedra,360,280,145,60,Y
Panoche,PAN1,34,open,,,,11,Y
Panoche,PAN1,38,ephedra,285,265,90,70,Y
Panoche,PAN1,38,open,,,,5,Y
Cuyama,C1,1,ephedra,370,320,155,25,
Cuyama,C1,1,open,,,,60,
Cuyama,C1,2,ephedra,410,405,210,80,Y
Cuyama,C1,2,open,,,,20,Y
Cuyama,C1,3,ephedra,620,475,190,20,
Cuyama,C1,3,open,,,,5,
Cuyama,C1,4,ephedra,685,605,185,75,
Cuyama,C1,4,open,,,,20,
Cuyama,C1,5,ephedra,205,200,125,15,
Cuyama,C1,5,open,,,,3,
Cuyama,C1,6,ephedra,225,195,160,45,Y
Cuyama,C1,6,open,,,,85,Y
Cuyama,C1,7,ephedra,450,360,155,20,
Cuyama,C1,7,open,,,,35,
Cuyama,C1,8,ephedra,400,335,140,50,
Cuyama,C1,8,open,,,,15,
Cuyama,C1,9,ephedra,455,395,170,90,
Cuyama,C1,9,open,,,,15,
Cuyama,C1,10,ephedra,295,245,170,85,Y
Cuyama,C1,10,open,,,,40,Y
Cuyama,C1,11,ephedra,575,510,210,60,
Cuyama,C1,11,open,,,,10,
Cuyama,C1,12,ephedra,315,315,160,85,
Cuyama,C1,12,open,,,,5,
Cuyama,C1,13,ephedra,270,220,135,30,
Cuyama,C1,13,open,,,,40,
Cuyama,C1,14,ephedra,425,400,195,50,Y
Cuyama,C1,14,open,,,,5,N
Cuyama,C1,15,ephedra,415,355,200,80,
Cuyama,C1,15,open,,,,8,
Cuyama,C1,16,ephedra,315,310,180,5,
Cuyama,C1,16,open,,,,2,
Cuyama,C1,17,ephedra,470,450,215,30,
Cuyama,C1,17,open,,,,8,
Cuyama,C1,18,ephedra,375,365,120,7,Y
Cuyama,C1,18,open,,,,5,Y
Cuyama,C1,19,ephedra,415,385,185,50,
Cuyama,C1,19,open,,,,15,
Cuyama,C1,20,ephedra,520,320,165,45,
Cuyama,C1,20,open,,,,5,
Cuyama,C1,21,ephedra,305,260,160,5,N
Cuyama,C1,21,open,,,,20,Y
Cuyama,C1,22,ephedra,320,260,130,70,
Cuyama,C1,22,open,,,,5,
Cuyama,C1,23,ephedra,290,245,150,35,
Cuyama,C1,23,open,,,,25,
Cuyama,C1,24,ephedra,320,285,170,8,
Cuyama,C1,24,open,,,,4,
Cuyama,C1,25,ephedra,320,320,185,70,
Cuyama,C1,25,open,,,,75,
Cuyama,C1,26,ephedra,380,280,115,20,Y
Cuyama,C1,26,open,,,,75,Y
Cuyama,C1,27,ephedra,380,315,190,40,
Cuyama,C1,27,open,,,,15,
Cuyama,C1,28,ephedra,470,405,275,75,
Cuyama,C1,28,open,,,,50,
Cuyama,C1,29,ephedra,485,375,265,45,
Cuyama,C1,29,open,,,,4,
Cuyama,C1,30,ephedra,425,375,190,0,Y
Cuyama,C1,30,open,,,,8,Y
Cuyama,C2,1,ephedra,355,290,160,40,
Cuyama,C2,1,open,,,,5,
Cuyama,C2,2,ephedra,295,250,150,70,Y
Cuyama,C2,2,open,,,,15,Y
Cuyama,C2,3,ephedra,460,450,130,95,
Cuyama,C2,3,open,,,,10,
Cuyama,C2,4,ephedra,305,180,130,100,
Cuyama,C2,4,open,,,,10,
Cuyama,C2,5,ephedra,230,135,115,60,
Cuyama,C2,5,open,,,,8,
Cuyama,C2,6,ephedra,420,375,185,65,Y
Cuyama,C2,6,open,,,,15,Y
Cuyama,C2,7,ephedra,460,405,120,90,
Cuyama,C2,7,open,,,,15,
Cuyama,C2,8,ephedra,375,305,115,85,
Cuyama,C2,8,open,,,,8,
Cuyama,C2,9,ephedra,290,210,120,40,
Cuyama,C2,9,open,,,,15,
Cuyama,C2,10,ephedra,435,425,155,50,Y
Cuyama,C2,10,open,,,,5,Y
Cuyama,C2,11,ephedra,440,325,170,25,
Cuyama,C2,11,open,,,,4,
Cuyama,C2,12,ephedra,455,395,160,85,
