Region,site,ID,Microsite,x,y,z,rdm.cov,PF
Mojave,M3,22,open,,,,0,Y
Mojave,M3,23,ephedra,155,115,80,10,
Mojave,M3,23,larrea,185,175,135,35,
Mojave,M3,23,open,,,,1,
Mojave,M3,24,ephedra,100,60,60,4,
Mojave,M3,24,larrea,130,120,110,15,
Mojave,M3,24,open,,,,0,
Mojave,M3,25,ephedra,75,55,65,10,
Mojave,M3,25,larrea,75,65,65,25,
Mojave,M3,25,open,,,,3,
Mojave,M3,26,ephedra,85,55,65,10,Y
Mojave,M3,26,larrea,125,115,75,15,Y
Mojave,M3,26,open,,,,4,Y
Mojave,M3,27,ephedra,75,55,45,15,
Mojave,M3,27,larrea,145,140,80,15,
Mojave,M3,27,open,,,,3,
Mojave,M3,28,ephedra,135,125,70,10,
Mojave,M3,28,larrea,160,150,125,10,
Mojave,M3,28,open,,,,2,
Mojave,M3,29,ephedra,105,85,65,20,
Mojave,M3,29,larrea,170,140,125,60,
Mojave,M3,29,open,,,,3,
Mojave,M3,30,ephedra,180,135,85,15,Y
Mojave,M3,30,larrea,240,145,100,25,Y
Mojave,M3,30,open,,,,5,Y
